Model,K,Fold,Accuracy,Sensitivity,Specificity,ROC AUC,F1 Score,Precision,Recall
Logistic Regression,5,1,0.960996099609961,0.6283236994219653,0.9925005474052989,0.9605318406360787,0.7359512525389302,0.8880718954248366,0.6283236994219653
Logistic Regression,5,2,0.960294044106616,0.6015578190533254,0.9929615888258403,0.9583660788470998,0.7166309778729479,0.8861429832303619,0.6015578190533254
Logistic Regression,5,3,0.9593439015852377,0.6138211382113821,0.9919015047879617,0.9583664844270096,0.7222412025965153,0.8771784232365145,0.6138211382113821
Logistic Regression,5,4,0.9582437365604841,0.592946802151823,0.9915957214581969,0.9545736678682565,0.7037956722241929,0.8656195462478184,0.592946802151823
Logistic Regression,5,5,0.960594089113367,0.6283704572098476,0.9915805587447378,0.9612584854094188,0.7312414733969986,0.8743882544861338,0.6283704572098476
Logistic Regression,10,1,0.9602960296029603,0.6283236994219653,0.9917341799868623,0.9616551606080819,0.7324797843665768,0.8780290791599353,0.6283236994219653
Logistic Regression,10,2,0.9604940741111166,0.6129418813660875,0.9921431689218682,0.9594592341564236,0.7214386459802539,0.8766066838046273,0.6129418813660875
Logistic Regression,10,3,0.9594439165874882,0.6178861788617886,0.9916279069767442,0.9597420840145474,0.7240558012929568,0.8742810188989318,0.6178861788617886
Logistic Regression,10,4,0.9586938040706106,0.5995218170950388,0.991486574983628,0.956047895534624,0.7083333333333334,0.8654012079378774,0.5995218170950388
Logistic Regression,10,5,0.9615942391358704,0.6406799531066822,0.9915258870482752,0.9630166964028138,0.7400135409614083,0.875801282051282,0.6406799531066822
Decision Tree,5,1,0.9568456845684569,0.7433526011560694,0.97706371797679,0.8634785265241599,0.7487627365356623,0.7542521994134898,0.7433526011560694
Decision Tree,5,2,0.9536930539580937,0.7177950868783702,0.9751745962461807,0.8509218314351179,0.7212522576760987,0.7247428917120388,0.7177950868783702
Decision Tree,5,3,0.9515927389108366,0.7206736353077816,0.9733515731874145,0.84944932482352,0.7194202898550724,0.7181712962962963,0.7206736353077816
Decision Tree,5,4,0.9514927239085863,0.7208607292289301,0.9725496616459288,0.8524521194053298,0.7131874630396215,0.7056758338209479,0.7208607292289301
Decision Tree,5,5,0.9551932789918488,0.7479484173505275,0.9745229894483626,0.8651283057548915,0.740139211136891,0.7324913892078071,0.7479484173505275
Decision Tree,10,1,0.9535453545354535,0.7410404624277457,0.9736698051237136,0.859910931145906,0.7340395075866017,0.7271695972773681,0.7410404624277457
Decision Tree,10,2,0.9540931139670951,0.7285799880167765,0.974628982976866,0.8552312282228712,0.7259701492537314,0.7233789411064843,0.7285799880167765
